,courseType,description,id,slug,instructorIds,specializations,partnerIds,name
0,v2.ondemand,"This is the third course in the Teach English: Intermediate Grammar specialization. It will be useful to ESL teachers or those interested in learning to teach English language, but it is not an introduction to teaching course. You will learn about some specific problems students have learning intermediate grammar. You will learn why students have trouble with this tricky grammar and find out new ways to help students conquer it. You will also learn a variety of activities for teaching this content in a fun and interesting way. Finally, you will have opportunities to practice the skills you learn by creating sample assignments and recording short videos of your teaching demonstrations using a video camera, webcam, or smartphone. Learners wanting a grade will be required to submit short videos of their teaching skills.

Only learners who pay for the course will be able to take the graded quizzes or submit assignments for feedback. The free version provides access to the lectures and practice activities only.",3Rm7wSxHEeanqw4SNWFJ8Q,teaching-common-grammar-mistakes,"['13484864', '15414512', '13960609']",[],['30'],Teaching Tips for Tricky English Grammar
1,v2.ondemand,"In this course we study the ancient, Socratic art of blowing up your beliefs as you go, to make sure they're built to last. We spend six weeks studying three Platonic dialogues - ""Euthyphro"", ""Meno"", ""Republic"" Book I - then two weeks pondering a pair of footnotes to Plato: contemporary moral theory and moral psychology. 

Platonic? Socratic? Socrates was the teacher, but he said he never did. Plato was the student who put words in his teacher's mouth. You'll get a feel for it.

We have a book: the new 4th edition of ""Reason and Persuasion"", by the instructor (and his wife, Belle Waring, the translator.) It contains the Plato you need, plus introductory material and in-depth, chapter-length commentaries. (Don't worry! John Holbo knows better than to read his book to the camera. The videos cover the same material, but the presentation is different.) 

The book is offered free in PDF form - the whole thing, and individual chapter slices. It is also available in print and other e-editions. See the course content for links and information.

The course is suitable for beginning students of Plato and philosophy, but is intended to offer something to more advanced students as well. We seek new, odd angles on old, basic angles. Tricky! The strategy is to make a wide-ranging, interdisciplinary approach.  Lots of contemporary connections, to make the weird bits intuitive; plus plenty of ancient color, still bright after all these years. So: arguments and ideas, new possibilities, old stories, fun facts. Plus cartoons. 

The results can get elaborate (some book chapters and some lesson videos run long.) But each video comes with a brief summary of its contents. The lessons progress. I put them in this order for reasons. But there's no reason you can't skip over and around to find whatever seems most interesting. There are any number of self-contained mini-courses contained in this 8-week course. You are welcome to them.

Plato has meant different things to different people. He's got his own ideas, no doubt. (Also, his own Ideas.) But these have, over the centuries, been worn into crossing paths for other feet; been built up into new platforms for projecting other voices. (Plato did it to Socrates, so fair is fair.) So your learning outcome should be: arrival somewhere interesting, in your head, where you haven't been before. I wouldn't presume to dictate more exactly.",yS8ezjDPEeW-zwq84wShFQ,plato-dialogues,['268127'],[],['47'],Reason and Persuasion: Thinking Through Three Dialogues By Plato
2,v2.ondemand,"Whenever the word “accounting” is pronounced, it is immediately associated with the need to memorize endless boring numbers. However, it is the common financial statements that contain important information that provides inputs for valuation of investment projects. The only challenge is how to properly extract them.

Accounting and finance are indeed intertwined. Sometimes people that are not experienced in the area even mix them up. But most often emphasis in accounting is on numbers. Still, the deep understanding of key accounting concepts helps reveal the interests and actions of people behind these numbers. And the human dimension of accounting adds invaluable insight in the potential of successful project implementation.

This Course discusses core ideas and concepts of both financial and managerial accounting. It by no means pretends to be comprehensive to any extent. But, being rather an accounting overview, it focuses on the issues that are most relevant and important for effective valuation of investment projects.

The learners will gain insight into the essence of accounting. They will be able to use the obtained knowledge and skills to successfully advance in their career at a financial institution, as well as in the area of financial management at non-financial businesses. To pursue a career in accounting, a more detailed study is strongly recommended.",8TCvZb_yEee38Ap8P6cP0A,core-concepts-of-accounting,['17533334'],[],"['176', '440']",Core Concepts of Accounting – Numbers and People
3,v2.ondemand,"This course is designed to introduce students to the issues of energy in the 21st century – including food and fuels – which are inseparably linked – and will discuss energy production and utilization from the biology, engineering, economics, climate science, and social science perspectives. 

This course will cover the current production and utilization of energy, as well as the consequences of this use, examining finite fossil energy reserves, how food and energy are linked, impacts on the environment and climate, and the social and economic impacts of our present energy and food production and use. After the introductory lectures, we will examine the emerging field of sustainable energy, fuel and food production, emphasizing the importance of developing energy efficient and sustainable methods of production, and how these new technologies can contribute to replacing the diminishing supplies of fossil fuels, and reduce the consequences of carbon dioxide release into the environment. This course will also cover the importance of creating a sustainable energy future for all societies including those of the developing world.  Lectures will be prepared and delivered by leading UC San Diego and Scripps Institution of Oceanography faculty and industry professionals across these areas of expertise.",5epfT7cBEeScDCIAC9REiQ,future-of-energy,['5994674'],[],['53'],Our Energy Future
4,v2.ondemand,"This course sets out to provide an understanding of theories of learning and development and how these theories relate to educational technology. It has two components. The first is theoretical, in which we attempt to develop an overall frame of reference, locating approaches to the psychology of learning in terms of large paradigm shifts, from ‘behaviorism’ to ‘brain developmentalism’ to ‘social cognitivism’. The second component is practical, in which we will use these theoretical concepts to ‘parse’ a technology-mediated learning environment for its underlying presuppositions.",HdedLT8sEeeQDg6xSmfOXg,learning-knowledge-human-development,"['3734792', '3726726']",[],['17'],"Learning, Knowledge, and Human Development "
5,v2.ondemand,"Mountains 101­­ is a broad and integrated overview of the mountain world. This 12-lesson course covers an interdisciplinary field of study focusing on the physical, biological, and human dimensions of mountain places in Alberta, Canada, and around the world. Specifically, we'll study the geological origins of mountains, how they’re built-up and worn-down over time; we’ll learn about their importance for biodiversity and water cycles, globally and locally; we’ll explore their cultural significance to societies around the globe, and how that relationship has evolved over time; and we’ll learn how mountains are used, how they’re protected, and how today they’re experiencing rapid change in a warming climate. 

At the end of each lesson, Mountains 101 will also provide learners with some smart tricks -- Tech Tips -- to safely enjoy time in the high alpine environment: from how to pick the best footwear for hiking to making smart decisions in avalanche terrain. 

We’ll be delivering your online lessons from valley bottoms to mountaintops, from museums and labs, to alpine huts and other spectacular alpine sites, and we’ll do so with the help of a whole host of experts.
 
We invite you to join us for this online adventure! The mountains are calling...",PsTsfU0LEeWfzRIay-bDMQ,mountains-101,"['4331062', '18033641']",[],['146'],Mountains 101
6,v2.ondemand,"This course explores Javascript based front-end application development, and in particular the React library (Currently Ver. 16.3). This course will use JavaScript ES6 for developing React application. You will also get an introduction to the use of Reactstrap for Bootstrap 4-based responsive UI design. You will be introduced to various aspects of React components. You will learn about React router and its use in developing single-page applications. You will also learn about designing controlled forms. You will be introduced to the Flux architecture and Redux. You will explore various aspects of Redux and use it to develop React-Redux powered applications. You will then learn to use Fetch for client-server communication and the use of REST API on the server side. A quick tour through React animation support and testing rounds off the course. You must have preferably completed the previous course in the specialization on Bootstrap 4, or have a working knowledge of Bootstrap 4 to be able to navigate this course. Also a good working knowledge of JavaScript, especially ES 5 is strongly recommended.

At the end of this course you will:

- Be familiar with client-side Javascript application development and the React library
- Be able to implement single page applications in React
- Be able to use various React features including components and forms
- Be able to implement a functional front-end web application using React
- Be able to use Reactstrap for designing responsive React applications
- Be able to use Redux to design the architecture for a React-Redux application",yG1EARC8EeiWoAqBnMlvMg,front-end-react,['1017488'],[],['35'],Front-End Web Development with React
7,v2.ondemand,"This course teaches how to design a feedback system to control a switching converter. The equivalent circuit models derived in the previous courses are extended to model small-signal ac variations. These models are then solved, to find the important transfer functions of the converter and its regulator system. Finally, the feedback loop is modeled, analyzed, and designed to meet requirements such as output regulation, bandwidth and transient response, and rejection of disturbances.

Upon completion of this course, you will be able to design and analyze the feedback systems of switching regulators.

This course assumes prior completion of courses Introduction to Power Electronics and Converter Circuits.",kcW15H3JEeWKYwric11Hpw,converter-control,['2659612'],[],['71'],Converter Control
8,v2.ondemand,"In this course you will learn three key website programming and design languages: HTML, CSS and JavaScript. You will create a web page using basic elements to control layout and style.  Additionally, your web page will support interactivity. 

At the end of the course, you will be able to:

1. Define the purpose of HTML, CSS and JavaScript
2. Make a simple web page using HTML
3. Use CSS to control text styles and layout
4. Use CSS libraries such as Bootstrap to create responsive layouts
5. Use JavaScript variables and functions
6. Manipulate web page content using JavaScript
7. Respond to user input using JavaScript

In this course, you will complete: 
2 assignments writing HTML, CSS and JavaScript, each taking ~1 hour to complete
4 quizzes, each taking ~20 minutes to complete
1 programming exercise~30 minutes to complete
multiple practice quizzes, each taking ~5 minutes to complete

Participation in or completion of this online course will not confer academic credit for University of London programmes.",HITLfhnoEeWjrA6seF25aw,website-coding,"['1960981', '1620951', '6059456']",[],"['26', '303']","Responsive Website Basics: Code with HTML, CSS, and JavaScript "
9,v2.ondemand,"Developing tomorrow's industrial infrastructure is a significant challenge. This course goes beyond the hype of consumer IoT to emphasize a much greater space for potential embedded system applications and growth: The Industrial Internet of Things (IIoT), also known as Industry 4.0. Cisco’s CEO stated: “IoT overall is a $19 Trillion market. IIoT is a significant subset including digital oilfield, advanced manufacturing, power grid automation, and smart cities”.

This is part 1 of the specialization. The primary objective of this specialization is to closely examine emerging markets, technology trends, applications and skills required by engineering students, or working engineers, exploring career opportunities in the IIoT space. The structure of the course is intentionally wide and shallow: We will cover many topics, but will not go extremely deep into any one topic area, thereby providing a broad overview of the immense landscape of IIoT. There is one exception: We will study security in some depth as this is the most important topic for all ""Internet of Things"" product development.

In this course students will learn :
  * What Industry 4.0 is and what factors have enabled the IIoT
  * Key skills to develop to be employed in the IIoT space
  * What platforms are, and also market information on Software and Services
  * What the top application areas are (examples include manufacturing and oil &gas)
  * What the top operating systems are that are used in IIoT deployments
  * About networking and wireless communication protocols used in IIoT deployments
  * About computer security; encryption techniques and secure methods for insuring data integrity and authentication",88AS74tsEeiIKw52w5bZOA,industrial-iot-markets-security,['28740057'],[],['71'],Industrial IoT Markets and Security
10,v2.ondemand,"Decision-makers often turn to scientists and engineers to assist them to navigate through complex environmental, health and societal challenges pervaded by systemic uncertainty, ambiguity and ethical implications. 

This course prepares you to meet the requests and demands of current and future decision-makers and in this course, you will analyze ethical challenges associated with environmental dilemmas and apply different decision making tools relevant to environmental management and regulation.",-quiqGbJEeW0sAqIx1_alQ,environmental-management-ethics,"['14612349', '15973390']",[],['57'],Environmental Management & Ethics
11,v2.ondemand,"The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight course programme will see you develop and strengthen your skills in teaching, professionalism, assessment, and more. As you carry on through the programme, you will find yourself strengthening not only your skills, but your connection with colleagues across the globe. A professional development opportunity not to be missed. 

Positive relationships with students supports children's learning. Positive relationships with colleagues and school leaders helps school improvement.  This course helps teachers develop strong relationships with families and colleagues.

Enhance your course by joining the Commonwealth teaching community on our website, Facebook and Twitter.",2mShqDVyEeW6RApRXdjJPw,teacher-relationships,"['5654261', '3678310', '3366373']",[],['106'],Foundations of Teaching for Learning: Developing Relationships
12,v2.ondemand,"Працюйте розумніше, а не більше
Ви зможете здобути і застосувати ваші знання та розуміння особистої та професійної обізнаності, організованості та виконання зобов’язань, а також використовувати інструменти, методи та прийоми, про які ви дізналися, для постановки цілей та пріоритетів, планування та делегування для подолання управлінських викликів та покращення продуктивності. 

This course is translated by the Ukrainian mobile network operator, lifecell.",t2hchZe2EeWjfxIrc5BW9Q,upravlinnya-chasom,['9772840'],[],['30'],"Працюйте розумніше, а не більше: управління часом для особистої та професійної продуктивності"
13,v2.ondemand,"The drive for development of new and novel oral biomaterials has never been more important with many people using oral biomaterials today and seeing their benefits in restoring and improving their oral health for a more enjoyable lifestyle. The unique properties of biomaterials such as titanium (Ti), zirconia (ZrO2) and various polymeric materials have made them materials of choice in oral health: dental implants, oral and maxillofacial surgery, and even regenerative medicine. Oral biomaterials research today is an exciting and intensive multidisciplinary area that encompasses contributions from a wide range of fields from professional dentistry to biology, chemistry, physics, material science, and engineering. 

Materials in Oral Health is a FREE 4-week course open to all interested learners. In the course, you will learn about the special properties and benefits of biomaterials including, titanium and titanium alloys, zirconia and other alloys, ceramics, and modern composites. You will gain insights of the practical use of these biomaterials in different aspects of dentistry and clinical implications. You will realize how contemporary dentistry is about unifying synthetic materials to living tooth and bone tissues. You will get in touch with the crucial roles of digital dentistry and learn about CAD/CAM technology in crown fabrication, 3D printing and digital orthodontics. And lastly, you will be introduced to procedures and testing methods used to test significant mechanical properties of biomaterials in the research laboratory. 

We cordially invite those of you who wish to make a difference in tomorrow’s dental materials and oral health development to join us in the 4-week journey in Materials in Oral Health.

You can get recognition for completion of the course by obtaining a Course Certificate. You can refer to details on: https://learner.coursera.help/hc/en-us/articles/208280196",wP6bopzUEeaF3g7NeAQepg,materials-oral-health,"['25062171', '25062639']",[],['235'],Materials in Oral Health
14,v2.ondemand,"The art of uncovering the insights and trends in data has been around since ancient times. The ancient Egyptians used census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do. This field is data science. In this course, we will meet some data science practitioners and we will get an overview of what data science is today.

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",r0GnHOZaEees-Q6jQMxlrg,what-is-datascience,"['28512151', '28511560']",[],['348'],What is Data Science? 
15,v2.ondemand,"本課程第二部分著重在和人工智慧密不可分的機器學習。課程內容包含了機器學習基礎理論（包含 1990 年代發展的VC理論）、分類器（包含決策樹及支援向量機）、神經網路（包含深度學習）及增強式學習（包含深度增強式學習。
        此部份技術包含最早追溯至 1950 年代直到最近 2016 年附近的最新發展。此課程從基礎理論開始，簡介了各機器學習主流技法以及從淺層學習架構演變到最近深度架構的轉換。

本課程之核心目標為：
（一）使同學對人工智慧相關的機器學習技術有基礎概念
（二）同學能夠理解機器學習基礎理論、分類器、神經網路、增強式學習
（三）同學能將相關技術應用到自己的問題上

修課前，基礎背景知識：
需要的先備知識：計算機概論
建議的先備知識：資料結構與演算法",_HYzDzDHEeiWTQ4fi9qqFg,ai2,['8180013'],[],['75'],人工智慧：機器學習與理論基礎 (Artificial Intelligence - Learning & Theory)
16,v2.ondemand,"This course aims to introduce learners to advanced visualization techniques beyond the basic charts covered in Information Visualization: Fundamentals. These techniques are organized around data types to cover advance methods for: temporal and spatial data, networks and trees and textual data. In this module we also teach learners how to develop innovative techniques in D3.js.

Learning Goals
Goal: Analyze the design space of visualization solutions for various kinds of data visualization problems. Learn what designs are available for a given problem and what are their respective advantages and disadvantages.
- Temporal
- Spatial
- Spatio-Temporal
- Networks
- Trees
- Text

This is the fourth course in the Information Visualization Specialization. The course expects you to have some basic knowledge of programming as well as some basic visualization skills (as those introduced in the first course of the specialization).",OULAMCiEEei4ABKHM5bfFA,information-visualization-advanced-techniques,"['28471750', '31680372']",[],['309'],Information Visualization: Advanced Techniques
17,v2.ondemand,"Este curso te ofrece desarrollar un modelo de negocio estructurado, con base en la metodología del Canvas Business Model, para crear una propuesta de valor orientada a los diferentes segmentos identificados como mercado objetivo de tu negocio o empresa. 

Al terminar el curso, tendrás un modelo de negocio diferenciado, con una propuesta de valor clara a través de prototipos validados con los consumidores. Vas a estructurar un modelo de negocio que te permitirá obtener un negocio diferenciado, viable y efectivo. 

Objetivos de aprendizaje:

1. Construir el modelo de negocio en torno a la propuesta de valor. El modelo de negocio es el sistema de actividades que se debe constituir para lograr que el proyecto emprendedor funcione en la práctica. Sus componentes incluyen la definición del segmento de mercado en el que se va a operar; los canales a través de los cuales se va a llegar al consumidor; las actividades, recursos y aliados del proyecto; y las fuentes de ingresos y costos. 

2. Identificar los actores críticos que deben tomar decisiones favorables para el proyecto en cada uno de los componentes del modelo de negocio. Establecer una propuesta de valor diferenciada para cada uno de esos actores.

3. Validar el modelo de negocio en contacto directo con los consumidores y con los diferentes actores, cuyas decisiones son importantes para el proyecto.

Ten en cuenta que este curso ha sido diseñado como el segundo de cuatro cursos que hacen parte del programa especializado en “Desarrollo de nuevas empresas” (https://www.coursera.org/specializations/desarrollo-nuevas-empresas), cuyo objetivo es brindarte una ruta práctica y accesible para crear y consolidar tu propia empresa, partiendo del análisis de tus ideas, de tus propias habilidades y de las oportunidades que te ofrece tu entorno inmediato. El primer curso del programa se llama ""¿Cómo convertir mi idea en empresa?"" (https://www.coursera.org/learn/idea-empresa/home/welcome), te recomendamos que te inscribas y participes en él si no lo has hecho.

Puedes tomar todos los cursos del programa por separado o sólo uno de ellos, sin embargo te recomendamos que te inscribas y participes en los cuatro, ojalá en el orden que te proponemos, de manera que llegues al último curso denominado ""Mi nueva empresa: los siguientes pasos"" preparado para aplicar los conocimientos adquiridos en los cursos anteriores y lleves tu emprendimiento o negocio a la realidad.",wNpXSI7-EeW93wo8Ha4kow,modelo-negocio,"['3252576', '3239255']",[],['273'],¿Cómo construir mi modelo de negocio?
18,v2.ondemand,剪辑台前，剪辑师就像厨师对待食材一样，摆弄着拍摄现场记录下来的影像片段，用影像和声音去捕捉线索和瞬间，讲述一个故事，同时赋予故事以力量、以情感。怎样平衡剪辑給画面带来的跳跃？当有几条情节线索相互穿插时，又应使用哪些剪辑手法？剪辑过程和编剧的过程一样，以叙事和抒情为最高准则，同时不断突破陈规，创造专属于自己的独特风格。本课程将带领学习者从剪辑开始，认识镜头，认识剪辑的语法，揭开微电影创作的神秘面纱。,rajsT7UJEeWl_hJObLDVwQ,jian-ji,['8054217'],[],['188'],剪辑：像编剧一样剪辑
19,v2.ondemand,"In this comprehensive overview of annual giving programs, you’ll gain an introduction to the basic terminology and concepts of annual giving as well as the various solicitation channels and donor types. Learn how to write a direct mail appeal, craft an impactful email appeal, and develop a script for phone solicitation. You’ll learn how to build a leadership annual giving portfolio and maximize the impact of memberships and events in annual campaigns. You’ll complete the course with the knowledge and skills to build and implement a multi-channel solicitation strategy that achieves the goals of an annual campaign.",2RSojHtiEea8UwqBOmLqOQ,annual-campaigns,['29777341'],[],['83'],Annual Campaigns: Building a Case for Support
20,v2.ondemand,"Kidney transplantation is a major advance of modern medicine which provides high-quality of life for patients with end-stage renal disease. What used to be an experimental, risky, and very limited treatment option more than 50 years ago is now routinely performed in many countries worldwide. The number of renal transplants is expected to rise sharply in the next decade since the proportion of patients with end stage renal disease is increasing. 

Are you interested in clinical kidney, pancreas and islet transplantation? If you are a (bio) medical student or a health care professional who works in the (pre) clinical transplant field this might be the course for you. This course is also for anyone interested in the research and knowledge on clinical transplantation. The course will be taught by a multidisciplinary team of transplant professionals and will give you the state of the art updates. 

It is divided in 4 modules: 
1) Before the transplant 
2) The surgical procedures and the challenged patient, including the patient with diabetes 
3) Early challenges 
4) Late challenges after transplantation. 

The offered modules will include lectures, interactive patient cases, 3D movies, interviews with well-known experts and with patients and a donor, a serious game to increase knowledge of the field and of course an active forum. Become an expert and join us!

The course is endorsed by The European Society of Organ Transplantation (ESOT), The International Society of Nephrology (ISN) and The Transplantation Society (TTS).

This MOOC has been accredited for Continuing Medical Education (CME). Health care professionals who works in the (pre) clinical transplant field, other health care professionals and general practitioners can obtain CME credit at 'LUMC-Boerhaave CME' upon passing the course. For more information we like to refer to the ""Additional introduction for obtaining CME credit"" module in week 1 of the course 

For another interesting course on organ donation and transplantation, see Organ Donation: From Death to Life from Cape Town University https://www.coursera.org/learn/organ-donation",nUm5Ry-iEeWUWxIOAnoaFQ,clinical-kidney-transplantation,"['8586225', '10430080', '14732317', '14411190', '16127375', '14409425', '14575959', '15263864', '14427399', '14411004', '14463568', '14426465', '15665608']",[],"['25', '328']","Clinical Kidney, Pancreas and Islet Transplantation"
21,v2.ondemand,"Ces quelques leçons de mécanique lagrangienne font partie d'un cours de formation de base en mécanique Newtonienne présenté sous la forme d'un MOOC en quatre parties : 

1. Lois de Newton
https://www.coursera.org/learn/mecanique-newton

2. Mécanique du point matériel
https://www.coursera.org/learn/mecanique-point-materiel

3. Mécanique du Solide Indéformable
https://www.coursera.org/learn/mecanique-solide

4. Mécanique Lagrangienne

Le formalisme de Lagrange permet une résolution efficace de problèmes complexes de mécanique. Il permet aussi d'apporter un éclairage plus fondamental sur les lois de conservation (théorème de Noether). A titre d'illustration de la méthode de Lagrange, on traitera le problème très important des oscillateurs harmoniques couplés, exprimé comme un problème de valeurs propres et de vecteurs propres. On termine avec un formalisme permettant d'analyser les  résonances paramétriques, notion illustrée par l'expérience montrant la stabilité d'un pendule inversé forcé.",5Ek-BHjkEeWfrQ7ngHMGEQ,mecanique-lagrangienne,['2489806'],[],['16'],Mécanique Lagrangienne
